depot_source;chemin_source;composant;fonction_actuelle;qualite;dependances;dette_technique;decision;chemin_cible;justification;tests_requis;risque;priorite
nexus-project_v0;lib/diagnostics/score-diagnostic.ts;Scoring Diagnostic V2;Maîtrise couverture readiness confiance et incohérences;bonne;TypeScript et validations bilan;contrat spécifique et preuves non persistées;REFACTORER;lib/diagnostics/scoring/;Base déterministe la plus proche du cahier à généraliser;golden tests propriétés NOT_STUDIED bornes monotonicité;élevé;P0
nexus-project_v0;lib/assessments/scoring/;ScoringFactory;Scoring multi-matières Maths NSI générique;bonne;QuestionBank et core types;indices moins riches et NSP ambigu;REFACTORER;lib/diagnostics/scoring/;Converger avec Diagnostic V2 sans dupliquer un troisième moteur;parité snapshots et propriétés par matière;élevé;P0
nexus-project_v0;app/api/assessments/submit/route.ts;Soumission universelle;Valide score persiste puis lance SSN et bilans;bonne;Next Prisma QuestionBank ScoringFactory;identité payload et fire-and-forget;REFACTORER;app/api/diagnostics/attempts/submit/route.ts;Conserver le flux mais dériver identité serveur et mettre en file;API RBAC idempotence absence réponses fuite;critique;P0
nexus-project_v0;lib/diagnostics/types.ts;DiagnosticDefinition;Contrat définition scoring prompts RAG;bonne;TypeScript;pas de curriculum context ni statut revue question;REFACTORER;lib/diagnostics/definitions/schema.ts;Meilleure base existante pour le contrat canonique;validation Zod compatibilité packs;élevé;P0
nexus-project_v0;lib/diagnostics/definitions/;Registre legacy;Huit diagnostics Maths NSI STMG et alias;bonne;types et mappings programmes;non daté par cohorte et intitulés pré-stage;REFACTORER;lib/diagnostics/definitions/legacy/;Conserver derrière adaptateur puis migrer vers packs datés;tests de chargement et résolution version;élevé;P1
nexus-project_v0;programmes/mapping/*.yml;Mappings compétences;Domaines chapitres skills et poids;variable;js-yaml et compile scripts;pas de source BO date effet ou distinction préalable cible;INSPIRATION;data/curriculum/mappings/;IDs utiles mais contenu à revalider humainement;schéma source checksum revue;élevé;P1
nexus-project_v0;lib/diagnostics/bilan-renderer.ts;Fallback déterministe;Markdown élève parents Nexus;bonne;ScoringV2;audiences et règles pas totalement canoniques;PORTER;lib/reports/renderers/deterministic/;Fallback déjà cohérent avec indisponibilité LLM;snapshots trois audiences absence PII;élevé;P1
nexus-project_v0;lib/rag-client.ts;Client ChromaDB;Recherche filtrée et contexte;bonne;FastAPI ChromaDB;metadata curriculum et citations incomplètes;REFACTORER;lib/rag/retrieval/client.ts;ChromaDB est la décision canonique;timeouts filtres citations indisponibilité;élevé;P1
nexus-project_v0;lib/reports/stage/maybeCreateGeneratedReportJob.ts;Déduplication rapports;Checksum et création de job DB;bonne;Prisma GeneratedPedagogicalReport;spécifique stage EAF;REFACTORER;lib/reports/jobs/enqueue.ts;Pattern idempotent à généraliser;concurrence checksum non-écrasement version validée;élevé;P1
nexus-project_v0;lib/reports/stage/processGeneratedReportJob.ts;Pipeline rapport premium;Contexte LLM JSON LaTeX PDF;bonne;Prisma Mistral pdflatex stockage;spécifique et sans BullMQ canonique;REFACTORER;workers/reports/;Réutiliser étapes validées derrière queue durable;retry DLQ crash reprise LLM et PDF indisponibles;critique;P1
nexus-project_v0;lib/reports/stage/compileLatexToPdf.ts;Compilation PDF;Compilation durcie timeout et no-shell-escape;bonne;pdflatex et fs;dépendance binaire;PORTER;lib/reports/renderers/latex/compile.ts;Durcissement déjà testé;injection timeout compiler absent;élevé;P2
nexus-project_v0;components/bilan/;Visualisation bilan;Tabs viewer et aperçu parent;bonne;React UI Nexus;contrats legacy;REFACTORER;components/diagnostics/reports/;Réutiliser le design en séparant les audiences;accessibilité RBAC états vides snapshots;modéré;P2
nexus-project_v0;prisma/schema.prisma;Modèles diagnostics et rapports;Persistance de plusieurs générations;variable;PostgreSQL Prisma;redondance Diagnostic Assessment Bilan StageBilan rapports;REFACTORER;prisma/schema.prisma;Migration additive après ADR de convergence;validate generate migration dry-run intégration;critique;P1
Interface_NSI_Bilan_Support_Suivi;apps/worker/src/index.js;Worker BullMQ;Retries backoff DLQ métriques S3 React-PDF et LLM;variable;BullMQ Redis pgvector S3 React-PDF;monolithe 1585 lignes logs PII et deux RAG;REFACTORER;workers/reports/;Porter les mécanismes durables en modules TypeScript sans pgvector ni logs sensibles;idempotence DLQ locks metrics redaction restart;critique;P1
Interface_NSI_Bilan_Support_Suivi;data/questionnaire_nsi_terminale.final.json;Banque NSI Terminale;Questionnaire source;à revoir;JSON et loader local;programme version licence et statut validation incertains;INSPIRATION;data/diagnostics/review/nsi-terminale/;Convertir vers contrat canonique mais laisser en revue;validator conformité source absence publication;élevé;P2
Interface_NSI_Bilan_Support_Suivi;apps/web/src/app/bilan/[bilanId]/questionnaire/page.tsx;UX questionnaire;Passation NSI;bonne;Next React et API locale;couplage NSI et types limités;INSPIRATION;components/diagnostics/questionnaire/;Reprendre autosave progression et états utiles;Playwright clavier mobile reprise;modéré;P2
Interface_NSI_Bilan_Support_Suivi;apps/web/src/lib/questionnaire.ts;Loader chemin physique;Lit JSON depuis cwd ou /app;faible;fs path;non versionné et non portable;REMPLACER;lib/diagnostics/catalog/;Le catalogue canonique doit résoudre par ID et version;tests traversée chemin et version inconnue;élevé;P1
Interface_NSI_Bilan_Support_Suivi;scripts/ingest_rag.ts;Ingestion pgvector;Scan chunk fixe embeddings et inserts;faible;PostgreSQL pgvector Gemini/HF;fallback vecteurs zéros scan implicite chunk 1200;REJETER_RAG;aucun;Incompatible ChromaDB et gouvernance manifeste;test refus embedding invalide si convertisseur inspiré;critique;P0
Interface_NSI_Bilan_Support_Suivi;scripts/check_rag_sources.ts;Validation sources RAG;Contrôle de fichiers et références;moyenne;fs et config;spécifique chemins;REFACTORER;scripts/bilans/validate-rag-manifest.ts;Bonne intention à convertir vers manifeste canonique;checksums licence statut metadata;élevé;P2
Interface_NSI_Bilan_Support_Suivi;resources/programme_nsi_*.pdf;Programmes NSI;Sources institutionnelles candidates;à vérifier;PDF;version date checksum et source primaire à confirmer;INGÉRER_RAG;data/rag/manifests/official-nsi.csv;Admissible seulement après comparaison avec source officielle et approbation;checksum métadonnées retrieval citations;élevé;P2
Interface_Maths_2025_2026;opt/math-correction/backend/app/services/audit_service.py;Audit correction;Confiance incohérences et revue humaine;bonne;Python et résultats correction;contrat Python séparé;INSPIRATION;lib/diagnostics/evidence/quality.ts;Règles observables utiles pour qualité des preuves;unitaires seuils données manquantes neutralité;modéré;P2
Interface_Maths_2025_2026;opt/math-correction/backend/app/services/grading_service.py;Notation par rubric;LLM JSON points confiance et review;moyenne;LLM RAG Python;LLM calcule encore les points;REFACTORER;lib/diagnostics/evidence/open-response.ts;Ne porter que rubric preuves et revue avec score déterministe ou humain;golden rubrics invalid JSON human review;critique;P2
Interface_Maths_2025_2026;var-www/maths/assets/js/student.js;Portail élève legacy;Matching et rendu bilan statique;faible;JS statique JSON;matching email nom et données globales;ARCHIVER;docs/bilans/legacy/;Risque IDOR et architecture remplacée par ownership serveur;test de non-régression aucune route publique;critique;P0
Interface_Maths_2025_2026;var-www/maths/EDS_premiere/Second_Degre/bilans_eval1_second_degre.json;Bilans historiques;Données personnalisées;risquée;JSON;PII potentielle et licence non qualifiée;REJETER_RAG;aucun;Ne jamais ingérer des rapports individuels dans corpus global;audit PII et anonymisation hors ingestion;critique;P0
Interface_Maths_2025_2026_Fixed;site/assets/js/student.js;Rendu élève corrigé;Charge JSON et matche email nom ou contenu;faible;JS statique;risque exposition croisée;ARCHIVER;docs/bilans/legacy/;Le contrat visuel seul peut inspirer mais la logique doit disparaître;tests IDOR ownership;critique;P0
Interface_Maths_2025_2026_Fixed;site/EDS_premiere/Second_Degre/bilan_evval_second_degre_canonique.md;Gabarit bilan;Structure narrative;moyenne;Markdown;provenance et validation à confirmer;INSPIRATION;lib/reports/templates/legacy-evaluation.ts;Extraire uniquement la structure validée;snapshot audiences absence données inventées;modéré;P3
nexus-reussite-app;feuille_route/Specifications-Fonctionnelles-par-Role.md;Spécification rôles;Besoins élève parent équipe;moyenne;documentation;peut être antérieure au cahier actuel;INSPIRATION;docs/bilans/AUTH_PARENT_LINKING.md;Complète la réflexion UX mais le cahier actuel prévaut;matrice permissions et tests ownership;modéré;P2
nexus-reussite-app;package.json;Prototype applicatif;Application Next concurrente;faible;Next Prisma OpenAI;duplication totale;ARCHIVER;aucun;Ne pas créer une seconde application;aucun;faible;P3
NSI_cours_accompagnement;nexus-reussite/frontend/src/components/QuizSystem.jsx;Quiz prototype;Questions hardcodées score local;faible;React local;aucune version persistance ou revue;ARCHIVER;docs/bilans/legacy/;Intentions UX seulement;aucun;modéré;P3
NSI_cours_accompagnement;nexus-reussite/backend/src/services/openai_integration.py;ARIA legacy;Tutorat évaluation quiz documents;faible;Python OpenAI;prompts massifs simulation et LLM évaluateur;INSPIRATION;lib/reports/prompts/review/;Quelques garde-fous à auditer jamais source de score;schema JSON prompt injection snapshots;élevé;P3
NSI_cours_accompagnement;nexus-reussite/docs/;Contenus pédagogiques NSI;Cours et cahiers des charges;à revoir;Markdown PDF divers;doublons licences versions et exactitude inconnus;INGÉRER_RAG;data/rag/manifests/nexus-nsi-review.csv;Candidats après tri humain seulement;license checksum PII duplicate review status;élevé;P3
